Sample ID,Temp,pH,DO %Sat,DO mg/L,Turb NTU,EC uS/cm,TDS mg/L,,Alkalinity,Chloride,,,,Magnesium (Mg2+),,,,TH,Calcium (Ca2+)
30,19.2,8.19,97.1,8.72,739,180,65,,172,21.3,,,,36.54,,,,188,20.89
31,19.1,8.29,97.3,8.74,188,165,64,,150,12.78,,,,40.61,,,,160,29.09
32,19.2,8.3,96.7,8.66,192,188,60,,128,15.62,,,,31.81,,,,186,38.75
33,19.2,8.32,97.1,8.7,191,156,67,,146,9.94,,,,35.78,,,,35,4.38
34,19.2,8.34,96.8,8.67,258,257,59,,22,8.52,,,,7.44,,,,80,8
35,19.3,8.39,96.9,8.67,227,121,96,,78,7.1,,,,17.5,,,,35,11.25
36,17.7,8.71,97.4,9.02,228,136,45,,31,4.36,,,,5.77,,,,86,12.29
37,17.9,8.69,97.5,8.97,400,241,69,,42,11.36,,,,17.91,,,,250,35.82
38,18.2,8.67,97.3,8.9,300,85,20,,230,5.68,,,,52.05,,,,170,34
39,18.4,8.65,96.7,8.81,223,77,14,,128,7.1,,,,33.05,,,,54,10.8
40,18.6,8.62,97.3,8.84,236,75,21,,48,5.68,,,,10.5,,,,116,17.85
41,18.7,8.59,96.9,8.78,386,165,71,,92,12.78,,,,23.85,,,,120,10.43
42,18.8,8.57,97.1,8.75,252,161,31,,99,8.52,,,,26.62,,,,72,8
43,19,8.53,96.7,8.71,392,142,50,,43,7.1,,,,15.55,,,,136,20.92
44,19.2,8.52,96.5,8.65,1150,181,60,,93,4.26,,,,27.96,,,,94,16.79
45,19.4,8.5,97.1,8.69,1233,156,54,,60,5.68,,,,18.76,,,,198,55
46,19.5,8.48,96.7,8.63,606,149,49,,180,4.26,,,,34.75,,,,252,30
48,20.4,8.46,94.4,8.28,261,529,217,,212,5.68,,,,53.95,,,,264,66
49,19.8,8.46,92,8.15,238,521,194,,231,9.94,,,,48.11,,,,210,52.5
50,19.7,8.47,94.8,8.43,226,390,143,,159,8.52,,,,38.27,,,,276,69
51,19.7,8.48,95.4,8.48,364,399,153,,245,8.52,,,,50.3,,,,328,82
52,19.68,8.5,95.8,8.51,220,611,237,,305,4.26,,,,59.78,,,,160,40
53,19.53,8.32,96.5,8.61,169,869,518,,123,5.68,,,,29.16,,,,270,65.3
54,19.6,8.5,96.6,8.6,197,498,178,,245,12.78,,,,49.74,,,,206,36.14
55,19.58,8.51,95,8.47,200,152,60,,169,18.46,,,,41.28,,,,156,40
56,19.54,8.52,95.3,8.5,202,225,67,,140,12.78,,,,28.19,,,,74,22.77
57,19.4,8.52,95.8,8.55,203,116,70,,38,8.52,,,,12.45,,,,280,49.3
58,19.5,8.53,95.4,8.53,408,652,259,,235,2.84,,,,56.06,,,,310,93.09
59,19.5,8.54,96,8.58,416,601,228,,360,5.68,,,,52.71,,,,,
,,,,,,,,,,,,,,,,,,,
