Sample no,Li,Na,Mg,Al,P,K,Ca,Cr,Mn,Fe,Co,Ni,As,Se,Sr,Cd,Sb,Ba
132,27.882,299576.851,73791.024,<0.000,<0.000,7380.61,6257.956,0.509,56.081,1.906,0.301,0.507,0.103,0.227,6204.538,<0.000,0.576,47.675
133,42.676,329747.867,92908.315,<0.000,<0.000,43444.85,4913.77,0.124,48.492,<0.000,0.237,0.532,0.36,2.958,8271.648,<0.000,0.202,42.659
134,9.651,67594.538,37691.417,<0.000,<0.000,3796.751,1589.547,<0.000,1.881,<0.000,0.012,<0.000,0.618,0.455,652.418,<0.000,0.022,33.297
135,8.165,94303.797,38357.845,<0.000,<0.000,3373.578,1188.191,<0.000,3.674,<0.000,0.015,1.138,0.463,0.683,503.294,<0.000,<0.000,20.074
136,18.804,129787.64,97832.01,<0.000,<0.000,7387.273,4539.077,8.4,8.926,<0.000,0.058,0.074,0.154,0.227,12459.512,<0.000,0.007,146.751
137,8.22,105993.297,40422.715,<0.000,<0.000,3016.097,1076.089,<0.000,2.821,<0.000,0.025,<0.000,0.412,1.138,450.057,<0.000,<0.000,20.599
138,12.301,84732.281,49121.292,<0.000,<0.000,8340.54,2762.438,<0.000,0.088,1.856,0.055,0.049,<0.000,0.227,3630.457,<0.000,<0.000,102.905
139,9.15,117343.441,40299.169,<0.000,<0.000,5001.461,1471.828,<0.000,3.905,<0.000,0.031,0.507,0.309,1.593,567.653,<0.000,<0.000,62.824
140,7.778,194458.382,16061.876,<0.000,<0.000,2421.621,429.285,<0.000,0.956,<0.000,0.003,<0.000,1.081,0.683,169.796,<0.000,<0.000,14.332
141,0.692,84710.321,17034.498,<0.000,<0.000,1665.651,68.844,<0.000,<0.000,<0.000,0.001,<0.000,<0.000,<0.000,19.474,0,<0.000,1.639
142,0.707,82210.246,14667.903,<0.000,<0.000,1708.596,101.319,<0.000,<0.000,<0.000,0,<0.000,<0.000,<0.000,53.939,0,<0.000,2.293
143,0.415,125731.62,2385.253,<0.000,<0.000,654.631,16.02,<0.000,0.171,<0.000,<0.000,<0.000,<0.000,<0.000,6.576,0,<0.000,0.081
144,0.764,40060.8,17608.901,<0.000,<0.000,2143.177,103.916,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,29.387,0,<0.000,1.705
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
